날짜,유형,종목명,단가,수량,총액,수익률
2022-01-11,매수,S-Oil,96100,3,288300,
2022-01-11,매수,한화솔루션,47408,6,284448,
2022-01-11,매수,HD건설기계,46800,6,280800,
2022-01-11,매수,세아베스틸지주,22150,13,287950,
2022-01-11,매수,우리기술,2155,139,299545,
2022-01-11,매수,DL이앤씨,66853,4,267412,
2022-01-11,매수,성호전자,1670,179,298930,
2022-01-11,매수,HDC현대산업개발,25500,11,280500,
2022-01-11,매수,세진중공업,6400,46,294400,
2022-01-11,매수,SNT에너지,7076,42,297192,
2022-01-12,매도,S-Oil,96236,3,288043,0.14%
2022-01-12,매도,한화솔루션,48882,6,292623,3.11%
2022-01-12,매도,HD건설기계,45957,6,275111,-1.80%
2022-01-12,매도,세아베스틸지주,21751,13,282116,-1.80%
2022-01-12,매도,우리기술,2189,139,303690,1.62%
2022-01-12,매도,DL이앤씨,65649,4,261994,-1.80%
2022-01-12,매도,성호전자,1787,179,319180,7.02%
2022-01-12,매도,HDC현대산업개발,25041,11,274817,-1.80%
2022-01-12,매도,세진중공업,6608,46,303308,3.26%
2022-01-12,매도,SNT에너지,7074,42,296438,-0.02%
2022-01-12,매수,우리기술,2220,135,299700,
2022-01-12,매수,성호전자,1790,168,300720,
2022-01-12,매수,SNT에너지,7204,41,295364,
2022-01-13,매도,우리기술,2180,135,293628,-1.80%
2022-01-13,매도,성호전자,1811,168,303680,1.22%
2022-01-13,매도,SNT에너지,7074,41,289380,-1.80%
2022-01-13,매수,한화솔루션,48531,6,291186,
2022-01-13,매수,하이트진로,31100,9,279900,
2022-01-13,매수,동원시스템즈,54800,5,274000,
2022-01-14,매도,한화솔루션,48453,6,290054,-0.16%
2022-01-14,매도,하이트진로,31031,9,278638,-0.22%
2022-01-14,매도,동원시스템즈,54795,5,273347,-0.01%
2022-01-14,매수,LS,57900,5,289500,
2022-01-14,매수,강원랜드,25350,11,278850,
2022-01-14,매수,하이트진로,31450,9,283050,
2022-01-14,매수,동원시스템즈,54300,5,271500,
2022-01-14,매수,감성코퍼레이션,2385,126,300510,
2022-01-17,매도,LS,56857,5,283635,-1.80%
2022-01-17,매도,강원랜드,25335,11,278050,-0.06%
2022-01-17,매도,하이트진로,30883,9,277315,-1.80%
2022-01-17,매도,동원시스템즈,56956,5,284125,4.89%
2022-01-17,매도,감성코퍼레이션,2351,126,295656,-1.39%
2022-01-17,매수,강원랜드,25450,11,279950,
2022-01-17,매수,코스메카코리아,13600,22,299200,
2022-01-17,매수,동원시스템즈,54800,5,274000,
2022-01-18,매도,강원랜드,25433,11,279128,-0.06%
2022-01-18,매도,코스메카코리아,14239,22,312537,4.70%
2022-01-18,매도,동원시스템즈,56956,5,284125,3.93%
2022-01-18,매수,강원랜드,25850,11,284350,
2022-01-18,매수,LS에코에너지,8220,36,295920,
2022-01-18,매수,동원시스템즈,57300,5,286500,
2022-01-19,매도,강원랜드,25384,11,278589,-1.80%
2022-01-19,매도,LS에코에너지,8072,36,289925,-1.80%
2022-01-19,매도,동원시스템즈,56759,5,283145,-0.94%
2022-01-19,매수,동원시스템즈,56600,5,283000,
2022-01-20,매도,동원시스템즈,56661,5,282655,0.11%
2022-01-21,매수,코스메카코리아,13450,22,295900,
2022-01-24,매도,코스메카코리아,13404,22,294216,-0.34%
2022-01-24,매수,한스바이오메드,11600,25,290000,
2022-01-25,매도,한스바이오메드,12078,25,301270,4.13%
2022-01-25,매수,한스바이오메드,11850,25,296250,
2022-01-26,매도,한스바이오메드,12078,25,301270,1.93%
2022-01-26,매수,한스바이오메드,11800,25,295000,
2022-01-27,매도,한스바이오메드,11636,25,290248,-1.38%
2022-02-10,매수,파마리서치,82000,3,246000,
2022-02-10,매수,휴젤,152400,1,152400,
2022-02-11,매도,파마리서치,80524,3,241016,-1.80%
2022-02-11,매도,휴젤,150049,1,149704,-1.54%
2022-02-11,매수,신한알파리츠,7887,38,299706,
2022-02-15,매수,세아홀딩스,104000,2,208000,
2022-02-16,매도,세아홀딩스,102128,2,203786,-1.80%
2022-02-24,매도,신한알파리츠,7745,38,293634,-1.80%
2022-02-24,매수,대덕전자,23550,12,282600,
2022-02-25,매도,대덕전자,24746,12,296273,5.08%
2022-02-28,매수,대덕전자,25050,12,300600,
2022-02-28,매수,효성,65786,4,263144,
2022-02-28,매수,피엔티,41950,7,293650,
2022-03-02,매도,대덕전자,24599,12,294510,-1.80%
2022-03-02,매도,피엔티,44975,7,314105,7.21%
2022-03-02,매수,한화시스템,15900,19,302100,
2022-03-02,매수,대덕전자,24550,12,294600,
2022-03-03,매도,효성,65661,4,262041,-0.19%
2022-03-03,매도,한화시스템,15810,19,299702,-0.56%
2022-03-03,매도,대덕전자,24402,12,292158,-0.60%
2022-03-03,매수,한화시스템,15850,19,301150,
2022-03-03,매수,엘앤에프,205500,1,205500,
2022-03-03,매수,펄어비스,100900,2,201800,
2022-03-03,매수,피엔티,46150,6,276900,
2022-03-03,매수,에코프로에이치엔,55259,5,276295,
2022-03-04,매도,한화시스템,16350,19,309941,3.16%
2022-03-04,매도,엘앤에프,201801,1,201336,-1.80%
2022-03-04,매도,펄어비스,99083,2,197711,-1.80%
2022-03-04,매도,피엔티,46939,6,280989,1.71%
2022-03-04,매도,에코프로에이치엔,54264,5,270697,-1.80%
2022-03-04,매수,한화시스템,16100,18,289800,
2022-03-04,매수,포스코인터내셔널,21450,14,300300,
2022-03-04,매수,현대제철,41350,7,289450,
2022-03-04,매수,펄어비스,100700,3,302100,
2022-03-04,매수,효성,66325,4,265300,
2022-03-04,매수,하나마이크론,16711,18,300798,
2022-03-04,매수,HJ중공업,7850,38,298300,
2022-03-04,매수,종근당,85822,3,257466,
2022-03-04,매수,피엔티,46400,6,278400,
2022-03-04,매수,한샘,77100,3,231300,
2022-03-07,매도,한화시스템,16546,18,297155,2.77%
2022-03-07,매도,포스코인터내셔널,22880,14,319591,6.67%
2022-03-07,매도,현대제철,40605,7,283586,-1.80%
2022-03-07,매도,펄어비스,100556,3,300976,-0.14%
2022-03-07,매도,효성,65282,4,260528,-1.57%
2022-03-07,매도,하나마이크론,16577,18,297702,-0.80%
2022-03-07,매도,HJ중공업,7806,38,295979,-0.55%
2022-03-07,매도,종근당,84277,3,252250,-1.80%
2022-03-07,매도,피엔티,47823,6,286280,3.07%
2022-03-07,매도,한샘,80229,3,240134,4.06%
2022-03-07,매수,한화시스템,16800,18,302400,
2022-03-07,매수,KT,32250,9,290250,
2022-03-07,매수,포스코인터내셔널,22250,13,289250,
