날짜,총자산,현금,주식평가금,보유종목수,보유현황
2022-01-03,3000000,3000000,0,0,
2022-01-04,3000000,3000000,0,0,
2022-01-05,3000000,3000000,0,0,
2022-01-06,3000000,3000000,0,0,
2022-01-07,3000000,3000000,0,0,
2022-01-10,3000000,3000000,0,0,
2022-01-11,3013087,120523,2892564,10,S-Oil(-1.7%) | 한화솔루션(-3.2%) | HD건설기계(-3.1%) | 세아베스틸지주(-6.5%) | 우리기술(1.9%) | DL이앤씨(-2.6%) | 성호전자(12.3%) | HDC현대산업개발(1.0%) | 세진중공업(3.8%) | SNT에너지(1.8%)
2022-01-12,3008071,2122063,886008,3,우리기술(-0.2%) | 성호전자(-0.6%) | SNT에너지(-2.5%)
2022-01-13,3016147,2163667,852480,3,한화솔루션(1.3%) | 하이트진로(1.1%) | 동원시스템즈(0.2%)
2022-01-14,2994267,1582297,1411970,5,LS(-1.6%) | 강원랜드(0.2%) | 하이트진로(-1.7%) | 동원시스템즈(0.9%) | 감성코퍼레이션(-1.7%)
2022-01-17,3004980,2147930,857050,3,강원랜드(0.8%) | 코스메카코리아(-2.9%) | 동원시스템즈(3.8%)
2022-01-18,3007901,2156951,850950,3,강원랜드(-2.3%) | LS에코에너지(-3.3%) | 동원시스템즈(0.2%)
2022-01-19,3013111,2725611,287500,1,동원시스템즈(1.6%)
2022-01-20,3008266,3008266,0,0,
2022-01-21,3012666,2712366,300300,1,코스메카코리아(1.5%)
2022-01-24,3012833,2716583,296250,1,한스바이오메드(2.2%)
2022-01-25,3021603,2721603,300000,1,한스바이오메드(1.3%)
2022-01-26,3024124,2727874,296250,1,한스바이오메드(0.4%)
2022-01-27,3018122,3018122,0,0,
2022-01-28,3018122,3018122,0,0,
2022-02-03,3018122,3018122,0,0,
2022-02-04,3018122,3018122,0,0,
2022-02-07,3018122,3018122,0,0,
2022-02-08,3018122,3018122,0,0,
2022-02-09,3018122,3018122,0,0,
2022-02-10,3005422,2619722,385700,2,파마리서치(-3.5%) | 휴젤(-2.6%)
2022-02-11,3009797,2710737,299060,1,신한알파리츠(-0.2%)
2022-02-14,3009417,2710737,298680,1,신한알파리츠(-0.3%)
2022-02-15,3007417,2502737,504680,2,신한알파리츠(-0.3%) | 세아홀딩스(-1.0%)
2022-02-16,3005203,2706523,298680,1,신한알파리츠(-0.3%)
2022-02-17,3002999,2706523,296476,1,신한알파리츠(-1.1%)
2022-02-18,3002999,2706523,296476,1,신한알파리츠(-1.1%)
2022-02-21,3003759,2706523,297236,1,신한알파리츠(-0.8%)
2022-02-22,3003379,2706523,296856,1,신한알파리츠(-1.0%)
2022-02-23,3003759,2706523,297236,1,신한알파리츠(-0.8%)
2022-02-24,2992958,2717558,275400,1,대덕전자(-2.5%)
2022-02-25,3013831,3013831,0,0,
2022-02-28,3015449,2156437,859012,3,대덕전자(-0.8%) | 효성(-0.5%) | 피엔티(1.8%)
2022-03-02,3020249,2168353,851896,3,효성(-0.7%) | 한화시스템(-0.6%) | 대덕전자(-1.4%)
2022-03-03,3022886,1760611,1262275,5,한화시스템(0.6%) | 엘앤에프(-0.7%) | 펄어비스(0.7%) | 피엔티(0.8%) | 에코프로에이치엔(-1.2%)
2022-03-04,3041186,208074,2833112,10,한화시스템(2.8%) | 포스코인터내셔널(0.5%) | 현대제철(0.2%) | 펄어비스(-2.2%) | 효성(0.5%) | 하나마이크론(0.8%) | HJ중공업(1.3%) | 종근당(-0.6%) | 피엔티(1.7%) | 한샘(2.5%)
