날짜,총자산,현금
2021-01-04,3000000,3000000
2021-01-05,3000000,3000000
2021-01-06,3000000,3000000
2021-01-07,3000000,3000000
2021-01-08,3000000,3000000
2021-01-11,3000000,3000000
2021-01-12,3000000,3000000
2021-01-13,3000000,3000000
2021-01-14,3000000,3000000
2021-01-15,3000000,3000000
2021-01-18,3000000,3000000
2021-01-19,3000000,3000000
2021-01-20,3000000,3000000
2021-01-21,3000000,3000000
2021-01-22,3000000,3000000
2021-01-25,3000000,3000000
2021-01-26,3000000,3000000
2021-01-27,3000000,3000000
2021-01-28,3000000,3000000
2021-01-29,3000000,3000000
2021-02-01,3000000,3000000
2021-02-02,3000000,3000000
2021-02-03,3000000,3000000
2021-02-04,3000000,3000000
2021-02-05,3000000,3000000
2021-02-08,3000000,3000000
2021-02-09,3000000,3000000
2021-02-10,3000000,3000000
2021-02-15,3000000,3000000
2021-02-16,3000000,3000000
2021-02-17,3000000,3000000
2021-02-18,3000000,3000000
2021-02-19,3000000,3000000
2021-02-22,3000000,3000000
2021-02-23,3000000,3000000
2021-02-24,3000000,3000000
2021-02-25,3000000,3000000
2021-02-26,3000000,3000000
2021-03-02,3000000,3000000
2021-03-03,3000000,3000000
2021-03-04,3000000,3000000
2021-03-05,3000000,3000000
2021-03-08,3000000,3000000
2021-03-09,3000000,3000000
2021-03-10,3000000,3000000
2021-03-11,3000000,3000000
2021-03-12,3000000,3000000
2021-03-15,3000000,3000000
2021-03-16,3000000,3000000
2021-03-17,3000000,3000000
2021-03-18,3000000,3000000
2021-03-19,3000000,3000000
2021-03-22,3000000,3000000
2021-03-23,3000000,3000000
2021-03-24,3000000,3000000
2021-03-25,3000000,3000000
2021-03-26,3000000,3000000
2021-03-29,3000000,3000000
2021-03-30,3000000,3000000
2021-03-31,3000000,3000000
2021-04-01,3000000,3000000
2021-04-02,3000000,3000000
2021-04-05,3000000,3000000
2021-04-06,3000000,3000000
2021-04-07,3000000,3000000
2021-04-08,3000000,3000000
2021-04-09,3000000,3000000
2021-04-12,3000000,3000000
2021-04-13,3000000,3000000
2021-04-14,3000000,3000000
