날짜,유형,사유,종목명,매수가,매도가,수량,수익률
2021-08-02,매수,돌파매수,iM금융지주,9480,,31,
2021-08-03,매도,손절(갭하락),iM금융지주,9480,9300,31,-1.90%
2021-08-03,매수,돌파매수,파마리서치,91100,,3,
2021-08-03,매수,돌파매수,코오롱생명과학,32100,,9,
2021-08-04,매도,손절(장중이탈),파마리서치,91100,90245,3,-0.94%
2021-08-04,매도,손절(장중이탈),코오롱생명과학,32100,32406,9,0.95%
2021-08-04,매수,돌파매수,케어젠,14020,,21,
2021-08-04,매수,돌파매수,HL만도,64700,,4,
2021-08-04,매수,돌파매수,코미코,68800,,4,
2021-08-04,매수,돌파매수,코오롱생명과학,33000,,9,
2021-08-05,매도,손절(장중이탈),케어젠,14020,14965,21,6.75%
2021-08-05,매도,손절(장중이탈),HL만도,64700,63535,4,-1.80%
2021-08-05,매도,손절(갭하락),코미코,68800,67200,4,-2.33%
2021-08-05,매도,손절(장중이탈),코오롱생명과학,33000,33142,9,0.43%
2021-08-05,매수,돌파매수,삼성에스디에스,188500,,1,
2021-08-05,매수,돌파매수,케어젠,14360,,20,
2021-08-05,매수,돌파매수,강원랜드,26900,,11,
2021-08-05,매수,돌파매수,에스티팜,118900,,2,
2021-08-05,매수,돌파매수,미스토홀딩스,55600,,5,
2021-08-05,매수,돌파매수,피에스케이,22450,,13,
2021-08-05,매수,돌파매수,더블유게임즈,54197,,5,
2021-08-05,매수,돌파매수,하나투어,79319,,3,
2021-08-06,매도,손절(장중이탈),케어젠,14360,14847,20,3.40%
2021-08-06,매도,손절(장중이탈),강원랜드,26900,26808,11,-0.34%
2021-08-06,매도,손절(장중이탈),에스티팜,118900,122062,2,2.66%
2021-08-06,매도,손절(장중이탈),미스토홀딩스,55600,55777,5,0.32%
2021-08-06,매도,손절(장중이탈),피에스케이,22450,23199,13,3.34%
2021-08-06,매도,손절(장중이탈),더블유게임즈,54197,54052,5,-0.27%
2021-08-06,매도,손절(장중이탈),하나투어,79319,79713,3,0.50%
2021-08-06,매수,돌파매수,케어젠,15120,,19,
2021-08-06,매수,돌파매수,강원랜드,27300,,11,
2021-08-06,매수,돌파매수,에스티팜,122000,,2,
2021-08-06,매수,돌파매수,미스토홀딩스,56700,,5,
2021-08-06,매수,돌파매수,주성엔지니어링,15200,,19,
2021-08-06,매수,돌파매수,피에스케이,23075,,13,
2021-08-06,매수,돌파매수,SFA반도체,7680,,39,
2021-08-06,매수,돌파매수,에스에프에이,41750,,7,
2021-08-06,매수,돌파매수,코미코,68100,,4,
2021-08-09,매도,손절(장중이탈),삼성에스디에스,188500,185598,1,-1.54%
2021-08-09,매도,손절(갭하락),케어젠,15120,14700,19,-2.78%
2021-08-09,매도,손절(갭하락),에스티팜,122000,117500,2,-3.69%
2021-08-09,매도,손절(갭하락),미스토홀딩스,56700,55500,5,-2.12%
2021-08-09,매도,손절(장중이탈),주성엔지니어링,15200,15122,19,-0.51%
2021-08-09,매도,손절(장중이탈),피에스케이,23075,23469,13,1.71%
2021-08-09,매도,손절(장중이탈),SFA반도체,7680,7777,39,1.27%
2021-08-09,매도,손절(장중이탈),에스에프에이,41750,42226,7,1.14%
2021-08-09,매도,손절(장중이탈),코미코,68100,71391,4,4.83%
2021-08-09,매수,돌파매수,케어젠,14700,,20,
2021-08-09,매수,돌파매수,에스티팜,117500,,2,
2021-08-09,매수,돌파매수,미스토홀딩스,55500,,5,
2021-08-09,매수,돌파매수,피에스케이,23375,,12,
2021-08-09,매수,돌파매수,테스,32000,,9,
2021-08-09,매수,돌파매수,SFA반도체,7750,,38,
2021-08-09,매수,돌파매수,더블유게임즈,54789,,5,
